"12.5","566.1","90","3","0.95","0.6","15","10.9","24","1"
"11.5","565.8","94","1","0.6","0.25","15","10.5","24","1"
"19.5","564","46","7","0.4","0.25","20","7.6","3","0"
"12.2","565.3","93","0","1","0.5","14","11.1","3","1"
"12.1","565.9","92","2","1","0.4","14","10.8","3","0"
"12.5","565.9","90","2","0.75","0.4","15","10.9","24","0"
"11.6","565.5","89","4","0.75","0.25","15","9.9","24","1"
"12.5","565.8","92","2","1","0.25","12","11.3","24","1"
"14.8","564.9","73","1","0.95","0.6","15","10","6","1"
"10.9","565.3","99","2","1","0.25","2","10.7","24","1"
"16.4","564","74","7","0.95","0.95","15","11.7","3","1"
"12.5","565.1","94","2","0.95","0.4","10","11.5","24","1"
"13","564.2","91","1","1","0.5","12","11.6","6","0"
"12.1","564.7","96","1","1","0.4","12","11.5","24","1"
"11","564.6","95","2","1","0.4","15","10.2","24","1"
"12.7","565.1","90","3","1","0.75","6","11.1","24","1"
"12.7","564.2","93","1","0.95","0.95","15","11.6","3","1"
"7.5","564.9","94","1","0.4","0.1","12","6.6","24","0"
"11.8","564.9","96","1","1","0.5","6","11.2","24","1"
"11.2","564.8","96","1","1","1","9","10.6","3","1"
"13.8","565.9","91","2","1","0.5","6","12.4","3","1"
"10.6","565.7","92","2","0.6","0.4","20","9.4","24","1"
"11.4","565.3","91","1","0.5","0.4","20","10","24","0"
"12.1","565.1","95","1","1","0.5","7","11.3","24","1"
"11.9","564.4","94","3","0.95","0.6","3","11","24","1"
"14","563.1","88","4","0.6","0.4","15","12","3","0"
"12.6","564","93","2","1","0.4","10","11.5","24","1"
"10.9","564.6","95","3","1","0.6","8","10.1","24","1"
"10.7","564.9","88","3","0.25","0.25","18","8.7","24","1"
"15.3","566.1","74","4","1","0.25","10","10.7","3","0"
"13.3","564.6","87","1","1","0.4","12","11.2","24","1"
"12.7","565.3","85","1","0.95","0.25","12","10.2","24","1"
"11.8","566.3","93","1","0.95","0.5","15","10.7","3","0"
"12.5","564.8","91","1","0.6","0.25","15","11.1","6","0"
"13.9","564.6","83","3","0.95","0.5","9","11.1","3","1"
"13.9","565.9","90","4","1","0.6","9","12.3","6","1"
"11.5","566.4","96","2","1","0.6","9","10.9","24","1"
"11.4","565","98","1","1","0.95","3","11.1","24","1"
"11.5","565.3","98","1","0.95","0.4","4","11.2","24","1"
